,NB,SVM,MLP,RF,LGB,XGB,CatB,ResNet,FTTransformer
"('2_annthyroid', 0.0, 1)",,,0.09165503374066787,,0.07407407407407407,,,,
"('2_annthyroid', 0.0, 2)",,,0.09211664362146478,,0.07407407407407407,,,,
"('2_annthyroid', 0.0, 3)",,,0.12290911247975414,,0.07407407407407407,,,,
"('2_annthyroid', 0.01, 1)",0.45842581730808657,0.0873037018931114,0.14157381586762652,0.21038493130227004,0.08924596310056654,0.5845876501541217,0.6076645295641719,0.10359937170071042,0.10247502858187349
"('2_annthyroid', 0.01, 2)",0.3997962848105613,0.19091076005827523,0.10184627493522792,0.21686357305398618,0.2813236876739277,0.44373572141209644,0.6357234645501484,0.17394795695123738,0.310151288208718
"('2_annthyroid', 0.01, 3)",0.4508938360238909,0.1356263291940503,0.1461480402321837,0.24299883449044066,0.27161265843093885,0.6068159416327433,0.6101743156894368,0.2522009916036243,0.40308666188827424
"('2_annthyroid', 0.05, 1)",0.45723417065894656,0.1111109421476463,0.2618200226532029,0.5409798889657795,0.6064147972369781,0.7037853399875041,0.773456674916818,0.4522101361094132,0.8026147416570756
"('2_annthyroid', 0.05, 2)",0.3978026830057591,0.10350381652160956,0.24069167030944455,0.46151848872482537,0.6716893628607704,0.5957640346216942,0.795109280008049,0.28297239834441684,0.6745626051598693
"('2_annthyroid', 0.05, 3)",0.426717868139227,0.14064230561864938,0.2722521775889786,0.4874168872140625,0.6644195214936108,0.735110048123214,0.7716728136144319,0.45111197756495686,0.5986729454110672
"('2_annthyroid', 0.1, 1)",0.46725633304457426,0.07358651658739565,0.4640585764569896,0.652967308243221,0.7273765015365654,0.7342104886667571,0.7416589491545462,0.6473347914045001,0.6971451771042616
"('2_annthyroid', 0.1, 2)",0.4151777677620681,0.08795948725057509,0.34336132996765056,0.7291235452752647,0.8661720376810681,0.822969363746266,0.8883044038292773,0.5313650965321222,0.9030559210811029
"('2_annthyroid', 0.1, 3)",0.4262747581924415,0.08696223951676549,0.4130894749748336,0.6936202592923701,0.7698078728968346,0.7734474889473473,0.7613480421508488,0.479905547981683,0.7733677056849021
"('2_annthyroid', 0.25, 1)",0.4795446018696478,0.3614553504566602,0.5665315324155782,0.7798134260071764,0.7810664583785459,0.8060305883258406,0.7816399383843163,0.7524114792647169,0.8601415269724759
"('2_annthyroid', 0.25, 2)",0.42438424035709493,0.055451741096764165,0.5661005109893299,0.858608198938127,0.8990509020600737,0.8967176024153413,0.8971956931153179,0.669150468423766,0.8688604026483843
"('2_annthyroid', 0.25, 3)",0.42319715620698617,0.08210988832668979,0.6073209014076077,0.7968033943601659,0.8060968505184347,0.8090636013694893,0.782185690934915,0.7235477326733386,0.8496269672447797
"('2_annthyroid', 0.5, 1)",0.48993609555182355,0.741098743001845,0.7037357281827046,0.8729545978448439,0.8813186991371763,0.8708889629864525,0.8607605952892183,0.7956834081096239,0.7917689794557453
"('2_annthyroid', 0.5, 2)",0.43930490306153896,0.4369528897771616,0.7082296883726754,0.92356705165723,0.9213593991907599,0.927543069938884,0.9318153893716246,0.8003965770341739,0.9014398618264123
"('2_annthyroid', 0.5, 3)",0.4234461556488978,0.5618510273023664,0.7262096143588972,0.8760791946662473,0.8883861518253295,0.8785058263206835,0.8150459100482608,0.7406957434053022,0.8608140055484668
"('2_annthyroid', 0.75, 1)",0.5315316642881442,0.8031734745388803,0.7451384626173027,0.8861606607356955,0.9104724402235765,0.9131157238962475,0.9026302135782888,0.8209351398342225,0.8428965308219246
"('2_annthyroid', 0.75, 2)",0.46076570393592386,0.808286459711948,0.7818640316070583,0.9290606750293441,0.9019267948939385,0.9169895407563371,0.922369707414391,0.8638883863291947,0.9077248995820368
"('2_annthyroid', 0.75, 3)",0.4309815462795287,0.7739868400230718,0.7876450045607534,0.9031674025553671,0.8815862359017126,0.8934544452627388,0.8882926260896687,0.8026153281038952,0.8393525768597684
"('2_annthyroid', 1.0, 1)",0.6057698332514073,0.8070341275196764,0.792072899342989,0.8965885796380946,0.9087453421910837,0.9120485584867866,0.8994017731688334,0.8321923102646412,0.8595698885786482
"('2_annthyroid', 1.0, 2)",0.5907316601436498,0.8212245685968593,0.8056985700782904,0.967013295016889,0.9526607010979027,0.9426451262891241,0.956081645896964,0.9016144935828665,0.9012516090347286
"('2_annthyroid', 1.0, 3)",0.6228398041435046,0.8008570848397082,0.790456734235652,0.9338124780028346,0.9277119811348615,0.9148397151333133,0.9152734150957736,0.8374451159002096,0.8589675797417491
"('9_census', 0.0, 1)",,,0.06841830752930385,,0.06166666666666667,,,,
"('9_census', 0.0, 2)",,,0.046436683781484744,,0.06266666666666666,,,,
"('9_census', 0.0, 3)",,,0.06148532266935781,,0.06533333333333333,,,,
"('9_census', 0.01, 1)",0.0703950103950104,0.038172328442680516,0.17687292555121276,0.11076284076284075,0.19195351256209192,0.259285091714888,0.28868617970065563,0.08931937126078046,0.17547358893930204
"('9_census', 0.01, 2)",0.06508611955420465,0.1788162053460068,0.20618611199582643,0.142637060902173,0.2255831337181513,0.2728561541237602,0.3273143615415761,0.10401925332138914,0.1810678266716209
"('9_census', 0.01, 3)",0.06585034013605442,0.1835677589003743,0.20798095897371624,0.12083138190341071,0.24183666457718572,0.20655244783125362,0.3017498609617857,0.10053797182918739,0.1773130183448755
"('9_census', 0.05, 1)",0.0913614360629286,0.17374554415799845,0.16537673728603594,0.15075866324819662,0.3170331059467554,0.30435383621359585,0.2972900574740841,0.11360646886447136,0.17151818428472668
"('9_census', 0.05, 2)",0.07993461338868708,0.22781612439565738,0.19776808635398263,0.2900201793131794,0.333498071031153,0.3765477161763438,0.350664130847785,0.15973046692367668,0.14074191888555593
"('9_census', 0.05, 3)",0.11083111505471754,0.2817747692053615,0.2750416751452557,0.2368804542788409,0.37315357646115416,0.3898549265454839,0.3421852412347209,0.1349710578978067,0.24414791473529435
"('9_census', 0.1, 1)",0.0869422075136361,0.17206289553910514,0.17450017064400442,0.24468929516077786,0.32741448652274274,0.31518590797284907,0.3759074626074454,0.15490278996949358,0.1784205057151725
"('9_census', 0.1, 2)",0.11127217265309236,0.270590101571477,0.2659324062058676,0.33285675551405797,0.3474953873196047,0.39166315658487133,0.3781397960290042,0.19463806714554027,0.2333438098014837
"('9_census', 0.1, 3)",0.09803581555825615,0.24415787668584044,0.257549948244881,0.2887641094182055,0.3427300363529505,0.3716165583968939,0.3543456847951966,0.15961902212162465,0.19089434375240347
"('9_census', 0.25, 1)",0.11666474917247807,0.22550823910191847,0.2631688983910119,0.3578695546022466,0.3524786971976272,0.34489909227286447,0.40440748140449395,0.1314544187328146,0.20614441374710368
"('9_census', 0.25, 2)",0.12164357616759813,0.37132825572363487,0.3327842258408994,0.43467143968228783,0.4611729363978317,0.4718727242827777,0.5130856025998363,0.2582369131480549,0.27727197687405364
"('9_census', 0.25, 3)",0.11512356417977027,0.31131126338758003,0.3303781376509227,0.4178573911822333,0.4230716409615387,0.42022866679240717,0.49575436679168045,0.2194077783806369,0.28777726083278793
"('9_census', 0.5, 1)",0.1176278967048198,0.32133916977782934,0.2912216783087886,0.4452523482233678,0.44413452301855494,0.4439226417014429,0.4958383322403483,0.19515198435881642,0.2516527819622379
"('9_census', 0.5, 2)",0.12589317873934178,0.4134568343747123,0.40236026805332903,0.49750561980375907,0.5286033611320456,0.4879228279367405,0.5552655947950069,0.37279455394754224,0.29597982733681294
"('9_census', 0.5, 3)",0.12314575666332106,0.39981559692137003,0.4463483670339481,0.5265585087147079,0.500232899371486,0.49246330981098685,0.5609107424415389,0.3095063249683783,0.3748842084391986
"('9_census', 0.75, 1)",0.1147125007719067,0.39785829371873993,0.3281594656823326,0.476419982180062,0.5157335404272871,0.5034229018397209,0.5234312020729588,0.28585896145952994,0.2929413851430043
"('9_census', 0.75, 2)",0.11505554821373508,0.4906256182434612,0.4534211930198083,0.5559944498663689,0.5763790607672766,0.5838479153555217,0.6077871702660411,0.41147422818315804,0.385493960440978
