,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,HBOS,KNN,LODA,LOF,PCA,SOD,DeepSVDD,DAGMM
"('2_annthyroid', 0.0, 1)",0.3278461648918919,0.10138476048966277,0.12401543737115356,0.15594629202866872,0.1622763729196493,0.2565911050616416,0.16931236469046465,0.17685304099895008,0.054472842925196524,0.16872482529452112,0.1681425996810867,0.1987125839209379,,0.10803132339776136
"('2_annthyroid', 0.0, 2)",0.2820009082858837,0.10155458113705193,0.149773467311121,0.12958576485607007,0.15593149820931912,0.23138913780212833,0.15700858128947892,0.15455918663192514,0.09183708964804341,0.14665591511974269,0.1463994606576931,0.19003418811633352,,0.10603278277754348
"('2_annthyroid', 0.0, 3)",0.30432393414727105,0.10812981214409155,0.13836453024216333,0.14633287591858396,0.17909085829060176,0.27252250075563095,0.18339905823454009,0.1708522674849795,0.06536500033827972,0.1558211372113477,0.16919078398630147,0.1764195176774962,,0.13190613151748037
"('2_annthyroid', 0.01, 1)",,,,,,,,,,,,,,
"('2_annthyroid', 0.01, 2)",,,,,,,,,,,,,,
"('2_annthyroid', 0.01, 3)",,,,,,,,,,,,,,
"('2_annthyroid', 0.05, 1)",,,,,,,,,,,,,,
"('2_annthyroid', 0.05, 2)",,,,,,,,,,,,,,
"('2_annthyroid', 0.05, 3)",,,,,,,,,,,,,,
"('2_annthyroid', 0.1, 1)",,,,,,,,,,,,,,
"('2_annthyroid', 0.1, 2)",,,,,,,,,,,,,,
"('2_annthyroid', 0.1, 3)",,,,,,,,,,,,,,
"('2_annthyroid', 0.25, 1)",,,,,,,,,,,,,,
"('2_annthyroid', 0.25, 2)",,,,,,,,,,,,,,
"('2_annthyroid', 0.25, 3)",,,,,,,,,,,,,,
"('2_annthyroid', 0.5, 1)",,,,,,,,,,,,,,
"('2_annthyroid', 0.5, 2)",,,,,,,,,,,,,,
"('2_annthyroid', 0.5, 3)",,,,,,,,,,,,,,
"('2_annthyroid', 0.75, 1)",,,,,,,,,,,,,,
"('2_annthyroid', 0.75, 2)",,,,,,,,,,,,,,
"('2_annthyroid', 0.75, 3)",,,,,,,,,,,,,,
"('2_annthyroid', 1.0, 1)",,,,,,,,,,,,,,
"('2_annthyroid', 1.0, 2)",,,,,,,,,,,,,,
"('2_annthyroid', 1.0, 3)",,,,,,,,,,,,,,
"('9_census', 0.0, 1)",0.07310220716625943,0.06712841688501087,0.07615056403084333,0.046742412921286926,0.09550915486931642,0.09149800408709469,0.08594631988476475,0.09068687428339514,0.04486749123366372,0.05436375017057971,0.0923886738675899,0.09263558762929008,,0.07629904314655764
"('9_census', 0.0, 2)",0.08870237754788401,0.07073682827983405,0.07992366647147142,0.04926268873796664,0.10194949901987739,0.09654573395055435,0.08859418899538196,0.09195835825479487,0.03981629286631475,0.05497166603826974,0.10267949827155752,0.07865633518579687,,0.11091241714128562
"('9_census', 0.0, 3)",0.07159050913876495,0.06661154518732401,0.06956563392735952,0.051261302676201055,0.10005042078392115,0.09587385440578818,0.0857712904813265,0.08858657538385388,0.06615813683802253,0.05485169177974153,0.10567690234767967,0.08500622169186658,,0.09338086330398795
"('9_census', 0.01, 1)",,,,,,,,,,,,,,
"('9_census', 0.01, 2)",,,,,,,,,,,,,,
"('9_census', 0.01, 3)",,,,,,,,,,,,,,
"('9_census', 0.05, 1)",,,,,,,,,,,,,,
"('9_census', 0.05, 2)",,,,,,,,,,,,,,
"('9_census', 0.05, 3)",,,,,,,,,,,,,,
"('9_census', 0.1, 1)",,,,,,,,,,,,,,
"('9_census', 0.1, 2)",,,,,,,,,,,,,,
"('9_census', 0.1, 3)",,,,,,,,,,,,,,
"('9_census', 0.25, 1)",,,,,,,,,,,,,,
"('9_census', 0.25, 2)",,,,,,,,,,,,,,
