,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD
"('2_annthyroid', 0.0, 1)",0.9826875,,,,,,
"('2_annthyroid', 0.0, 2)",0.9042625,,,,,,
"('2_annthyroid', 0.0, 3)",0.600225,,,,,,
"('2_annthyroid', 0.01, 1)",0.8002843749999999,0.7445812500000001,,,,,
"('2_annthyroid', 0.01, 2)",0.8668312499999999,0.726509375,,,,,
"('2_annthyroid', 0.01, 3)",0.6029281249999999,0.82990625,,,,,
"('2_annthyroid', 0.05, 1)",0.98195,0.8252062499999999,,,,,
"('2_annthyroid', 0.05, 2)",0.9016343750000001,0.8107375,,,,,
"('2_annthyroid', 0.05, 3)",0.6045843750000001,0.79118125,,,,,
"('2_annthyroid', 0.1, 1)",0.9638187500000001,0.878584375,,,,,
"('2_annthyroid', 0.1, 2)",0.7509874999999999,0.853959375,,,,,
"('2_annthyroid', 0.1, 3)",0.604446875,0.89664375,,,,,
"('2_annthyroid', 0.25, 1)",0.69658125,0.95570625,,,,,
"('2_annthyroid', 0.25, 2)",0.810178125,0.9216312499999999,,,,,
"('2_annthyroid', 0.25, 3)",0.593690625,0.9301125,,,,,
"('2_annthyroid', 0.5, 1)",0.7641046874999999,0.978575,,,,,
"('2_annthyroid', 0.5, 2)",0.734815625,0.9444218750000001,,,,,
"('2_annthyroid', 0.5, 3)",0.596221875,0.9368875,,,,,
"('2_annthyroid', 0.75, 1)",0.9745874999999999,0.982409375,,,,,
"('2_annthyroid', 0.75, 2)",0.84354375,0.9670062500000001,,,,,
"('2_annthyroid', 0.75, 3)",0.594565625,0.9723437500000001,,,,,
"('2_annthyroid', 1.0, 1)",0.927946875,0.984946875,,,,,
"('2_annthyroid', 1.0, 2)",0.8833906250000001,0.9798062500000001,,,,,
"('2_annthyroid', 1.0, 3)",0.5951187499999999,0.9834625,,,,,
"('9_census', 0.0, 1)",0.563874993999328,,,,,,
"('9_census', 0.0, 2)",0.611463787415635,,,,,,
"('9_census', 0.0, 3)",0.5980396081399749,,,,,,
"('9_census', 0.01, 1)",0.583634007008785,0.5559752292256732,,,,,
"('9_census', 0.01, 2)",0.6685595169637724,0.6399454465663872,,,,,
"('9_census', 0.01, 3)",0.5974500713266762,0.6304987044746572,,,,,
"('9_census', 0.05, 1)",0.6186452882722865,0.6411079640919783,,,,,
"('9_census', 0.05, 2)",0.5929054054054055,0.7179375624224449,,,,,
"('9_census', 0.05, 3)",0.6272125826079362,0.7111833677836327,,,,,
"('9_census', 0.1, 1)",0.6021525610868417,0.6365148096586818,,,,,
"('9_census', 0.1, 2)",0.5969080082321964,0.7621723767440454,,,,,
"('9_census', 0.1, 3)",0.5870421991906606,0.7529167515793764,,,,,
"('9_census', 0.25, 1)",0.6591829484902308,0.7425068407661659,,,,,
"('9_census', 0.25, 2)",0.6850031022063497,0.8261024182076813,,,,,
"('9_census', 0.25, 3)",0.5508020611953769,0.804634050481819,,,,,
"('9_census', 0.5, 1)",0.603988286688109,0.7804483702174643,,,,,
"('9_census', 0.5, 2)",0.6678482794104295,0.8487617656850579,,,,,
"('9_census', 0.5, 3)",0.5619523130222132,0.8309703339252963,,,,,
"('9_census', 0.75, 1)",0.5605434208631367,0.8244059334645482,,,,,
"('9_census', 0.75, 2)",0.6748585091250264,0.870248327835114,,,,,
"('9_census', 0.75, 3)",0.5814052083030073,0.8860310707735306,,,,,
"('9_census', 1.0, 1)",0.641541932696462,0.8454630118573281,,,,,
"('9_census', 1.0, 2)",0.6573858993371872,0.8941145092460883,,,,,
"('9_census', 1.0, 3)",0.607863402136889,0.8864268246528284,,,,,
"('5_campaign', 0.0, 1)",0.2951691729323308,,,,,,
"('5_campaign', 0.0, 2)",0.6313621090835726,,,,,,
"('5_campaign', 0.0, 3)",0.7186676554935875,,,,,,
"('5_campaign', 0.01, 1)",0.5593973905351615,0.6554588677576294,,,,,
"('5_campaign', 0.01, 2)",0.5433049655296266,0.6035347236771946,,,,,
"('5_campaign', 0.01, 3)",0.646366892478375,0.684498807754088,,,,,
"('5_campaign', 0.05, 1)",0.7150519681556834,0.71343874391862,,,,,
"('5_campaign', 0.05, 2)",0.5781688743447082,0.6770992341025565,,,,,
"('5_campaign', 0.05, 3)",0.6701153668359423,0.7092638227915737,,,,,
"('5_campaign', 0.1, 1)",0.7683889871738168,0.7304422821760282,,,,,
"('5_campaign', 0.1, 2)",0.6371260166792486,0.6911246132544933,,,,,
"('5_campaign', 0.1, 3)",0.7043817670071024,0.7226639795405945,,,,,
"('5_campaign', 0.25, 1)",0.7058392304290139,0.7520157010172488,,,,,
"('5_campaign', 0.25, 2)",0.7049925782553412,0.7393809189660773,,,,,
"('5_campaign', 0.25, 3)",0.6402510201434686,0.7360197942752242,,,,,
"('5_campaign', 0.5, 1)",0.765982972136223,0.8111952675807166,,,,,
"('5_campaign', 0.5, 2)",0.6711330160662203,0.7969690016062894,,,,,
"('5_campaign', 0.5, 3)",0.36369209348626896,0.7890705802928568,,,,,
"('5_campaign', 0.75, 1)",0.7823319327731093,0.8405506413091552,,,,,
"('5_campaign', 0.75, 2)",0.745449123635513,0.8278831454894748,,,,,
"('5_campaign', 0.75, 3)",0.4160677723347955,0.8366362591302979,,,,,
"('5_campaign', 1.0, 1)",0.7296218487394958,0.8705030959752323,,,,,
"('5_campaign', 1.0, 2)",0.7148143344429921,0.8666136779594692,,,,,
"('5_campaign', 1.0, 3)",0.6953991834418048,0.8679007049271737,,,,,
"('3_backdoor', 0.0, 1)",0.8002420980632154,,,,,,
"('3_backdoor', 0.0, 2)",0.9149055070107701,,,,,,
"('3_backdoor', 0.0, 3)",0.8262814845093326,,,,,,
"('3_backdoor', 0.01, 1)",0.8008630930952552,0.9119357045143639,,,,,
"('3_backdoor', 0.01, 2)",0.9172932330827067,0.9491834623413572,,,,,
"('3_backdoor', 0.01, 3)",0.8262992566790035,0.8089891634195432,,,,,
"('3_backdoor', 0.05, 1)",0.8034415724674202,0.9503158974728202,,,,,
"('3_backdoor', 0.05, 2)",0.9173070883597199,0.9420064288485341,,,,,
"('3_backdoor', 0.05, 3)",0.8264858644605481,0.9511754068716094,,,,,
"('3_backdoor', 0.1, 1)",0.803999568003456,0.9626142990856074,,,,,
"('3_backdoor', 0.1, 2)",0.9195516432358537,0.9472714341135393,,,,,
"('3_backdoor', 0.1, 3)",0.8262725984244972,0.9791843462729539,,,,,
"('3_backdoor', 0.25, 1)",0.7895816833465332,0.9690492476060192,,,,,
"('3_backdoor', 0.25, 2)",0.9180137074873916,0.963943950786056,,,,,
"('3_backdoor', 0.25, 3)",0.8179152356367546,0.9755543806176719,,,,,
"('3_backdoor', 0.5, 1)",0.8196549427604579,0.987202102383181,,,,,
"('3_backdoor', 0.5, 2)",0.943128706286601,0.9806072306072307,,,,,
"('3_backdoor', 0.5, 3)",0.8668464617831707,0.980526145083107,,,,,
"('3_backdoor', 0.75, 1)",0.8388742890056881,0.9964495284037729,,,,,
"('3_backdoor', 0.75, 2)",0.946435499067078,0.9835537861853652,,,,,
"('3_backdoor', 0.75, 3)",0.8692412616463249,0.9802506764532081,,,,,
"('3_backdoor', 1.0, 1)",0.840750773993808,0.9961525307797537,,,,,
"('3_backdoor', 1.0, 2)",0.9261098076887552,0.9963283515915095,,,,,
"('3_backdoor', 1.0, 3)",0.9000093303890774,0.9923846252960177,,,,,
