,NB,SVM,MLP,RF,LGB,XGB,CatB,ResNet,FTTransformer
"('2_annthyroid', 0.0, 1)",,,0.58165,,0.5,,,,
"('2_annthyroid', 0.0, 2)",,,0.548703125,,0.5,,,,
"('2_annthyroid', 0.0, 3)",,,0.6103156250000001,,0.5,,,,
"('2_annthyroid', 0.01, 1)",0.830875,0.524325,0.66190625,0.6028265625,0.38838281249999995,0.9384593750000001,0.950525,0.46804999999999997,0.5565859375
"('2_annthyroid', 0.01, 2)",0.811071875,0.671,0.57745625,0.6036468749999999,0.741559375,0.921775,0.969746875,0.5505703125,0.813534375
"('2_annthyroid', 0.01, 3)",0.776565625,0.58231875,0.645971875,0.6215421875000001,0.6418656249999999,0.9396015625000002,0.9470562499999999,0.5767625,0.789290625
"('2_annthyroid', 0.05, 1)",0.821025,0.567753125,0.7198031250000001,0.85036875,0.922978125,0.9500109375,0.9832031250000001,0.845590625,0.9848750000000001
"('2_annthyroid', 0.05, 2)",0.8248125000000002,0.428753125,0.701309375,0.79833125,0.9418937500000002,0.9031265625,0.988296875,0.719484375,0.935065625
"('2_annthyroid', 0.05, 3)",0.8137249999999999,0.497396875,0.718328125,0.81893125,0.929434375,0.9564937499999999,0.98390625,0.7719156250000001,0.8176
"('2_annthyroid', 0.1, 1)",0.8269750000000001,0.432790625,0.8335499999999999,0.9163140625000001,0.9585468750000001,0.95060625,0.9859281249999999,0.9419124999999999,0.9323531249999999
"('2_annthyroid', 0.1, 2)",0.8297374999999999,0.309496875,0.785034375,0.9430234375000001,0.98521875,0.97645,0.9930531250000001,0.9134562500000001,0.99395
"('2_annthyroid', 0.1, 3)",0.81946875,0.47064375,0.7973375,0.952340625,0.9780781250000001,0.9789625,0.986534375,0.858665625,0.9876437499999999
"('2_annthyroid', 0.25, 1)",0.830203125,0.6378625,0.88155625,0.9782437500000001,0.97823125,0.9882375000000001,0.9879218750000001,0.9742249999999999,0.9909468750000001
"('2_annthyroid', 0.25, 2)",0.835415625,0.34011562500000003,0.915615625,0.9917484375,0.99375625,0.99304375,0.9933812500000001,0.950225,0.99243125
"('2_annthyroid', 0.25, 3)",0.82294375,0.5440531249999999,0.941628125,0.98739375,0.9890343749999999,0.98813125,0.98765,0.96325625,0.990365625
"('2_annthyroid', 0.5, 1)",0.834709375,0.9509312500000001,0.9558468750000001,0.9928187500000001,0.9929,0.992709375,0.9922312500000001,0.988153125,0.9885781249999999
"('2_annthyroid', 0.5, 2)",0.834946875,0.76071875,0.9678125,0.99551875,0.9952125,0.9953375,0.995509375,0.982375,0.9940625000000001
"('2_annthyroid', 0.5, 3)",0.820559375,0.7491562500000001,0.975090625,0.9919546875,0.993159375,0.9925124999999999,0.990284375,0.9782124999999999,0.990221875
"('2_annthyroid', 0.75, 1)",0.8566109375,0.98461875,0.97194375,0.9936499999999999,0.9941281249999999,0.9939562500000001,0.99376875,0.9889,0.9899749999999999
"('2_annthyroid', 0.75, 2)",0.848065625,0.9864093749999999,0.982475,0.9960875,0.9956437499999999,0.9963687499999999,0.995740625,0.9899687500000001,0.9937812500000001
"('2_annthyroid', 0.75, 3)",0.8298343750000001,0.97189375,0.9845312499999999,0.9940015624999999,0.99343125,0.9939218750000001,0.9931468749999999,0.98156875,0.9899843749999999
"('2_annthyroid', 1.0, 1)",0.9121593749999999,0.9866671874999999,0.983871875,0.9946843750000001,0.994703125,0.99485,0.994359375,0.989209375,0.9909343749999999
"('2_annthyroid', 1.0, 2)",0.9129906250000001,0.9887375,0.98735,0.9978218750000001,0.9970031249999999,0.99690625,0.997125,0.99285625,0.9940749999999999
"('2_annthyroid', 1.0, 3)",0.9249,0.9862468750000001,0.987240625,0.9955234375,0.995234375,0.993821875,0.9949625000000001,0.990296875,0.9899531250000001
"('9_census', 0.0, 1)",,,0.5588843550477653,,0.5,,,,
"('9_census', 0.0, 2)",,,0.3724614872431222,,0.5,,,,
"('9_census', 0.0, 3)",,,0.4850614282802993,,0.5,,,,
"('9_census', 0.01, 1)",0.512092554366089,0.24721808842590373,0.7720320675915704,0.5812231769958235,0.7322864960875618,0.82819355767846,0.856168210839614,0.5434967116317028,0.6982535643992127
"('9_census', 0.01, 2)",0.5060228201325626,0.6368224327350867,0.7415616204110045,0.5806337202263855,0.6965957068490664,0.8023289246693502,0.8305835931115886,0.4459705366060349,0.6004774371235737
"('9_census', 0.01, 3)",0.501659436955952,0.764376328277388,0.7854176977495705,0.5866791973565461,0.7088743485982126,0.7994237459605811,0.8492059448601124,0.6508195289528079,0.7663196162915951
"('9_census', 0.05, 1)",0.5795113052661899,0.7602803513993568,0.6884028611204455,0.6711910133935,0.8294205751044117,0.8587028947242091,0.8603561998943882,0.6296788440305314,0.6716816283423743
"('9_census', 0.05, 2)",0.5612420931569868,0.784616083048334,0.760889879240943,0.7244115265881783,0.8093968478556944,0.8687946415060077,0.8539295874822191,0.6108565872703611,0.6976200024212342
"('9_census', 0.05, 3)",0.5777497161489418,0.842657355381525,0.837786398439547,0.718389727502984,0.8622057774607703,0.8819743660659699,0.8899786019971468,0.5143508544644677,0.8235565445864508
"('9_census', 0.1, 1)",0.5973693053622006,0.7598598243003216,0.7316480245787529,0.7780260189141185,0.8654447698142191,0.8581959579472901,0.8886774518746099,0.7099582353223561,0.7704517305938265
