,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,HBOS,KNN,LODA,LOF,PCA,SOD,DeepSVDD,DAGMM
"('2_annthyroid', 0.0, 1)",0.818353125,0.5794374999999999,0.617428125,0.675046875,0.771771875,0.78620625,0.6261953125,0.7278375,0.327875,0.720596875,0.672821875,0.7747265624999999,,0.6138218750000002
"('2_annthyroid', 0.0, 2)",0.815278125,0.553675,0.613028125,0.6506531249999999,0.7486312500000001,0.7790062499999999,0.5131609375,0.6910156249999999,0.475634375,0.68355,0.636825,0.76275,,0.6155531249999999
"('2_annthyroid', 0.0, 3)",0.82680625,0.583828125,0.6380750000000001,0.651834375,0.783659375,0.7946718750000001,0.6651234375000001,0.731853125,0.4269453125,0.7019187499999999,0.6777031250000001,0.78399375,,0.60376875
"('2_annthyroid', 0.01, 1)",,,,,,,,,,,,,,
"('2_annthyroid', 0.01, 2)",,,,,,,,,,,,,,
"('2_annthyroid', 0.01, 3)",,,,,,,,,,,,,,
"('2_annthyroid', 0.05, 1)",,,,,,,,,,,,,,
"('2_annthyroid', 0.05, 2)",,,,,,,,,,,,,,
"('2_annthyroid', 0.05, 3)",,,,,,,,,,,,,,
"('2_annthyroid', 0.1, 1)",,,,,,,,,,,,,,
"('2_annthyroid', 0.1, 2)",,,,,,,,,,,,,,
"('2_annthyroid', 0.1, 3)",,,,,,,,,,,,,,
"('2_annthyroid', 0.25, 1)",,,,,,,,,,,,,,
"('2_annthyroid', 0.25, 2)",,,,,,,,,,,,,,
"('2_annthyroid', 0.25, 3)",,,,,,,,,,,,,,
"('2_annthyroid', 0.5, 1)",,,,,,,,,,,,,,
"('2_annthyroid', 0.5, 2)",,,,,,,,,,,,,,
"('2_annthyroid', 0.5, 3)",,,,,,,,,,,,,,
"('2_annthyroid', 0.75, 1)",,,,,,,,,,,,,,
"('2_annthyroid', 0.75, 2)",,,,,,,,,,,,,,
"('2_annthyroid', 0.75, 3)",,,,,,,,,,,,,,
"('2_annthyroid', 1.0, 1)",,,,,,,,,,,,,,
"('2_annthyroid', 1.0, 2)",,,,,,,,,,,,,,
"('2_annthyroid', 1.0, 3)",,,,,,,,,,,,,,
"('9_census', 0.0, 1)",0.6017205126974222,0.5589400412846239,0.6241179012049349,0.4021122365704959,0.6936949738370698,0.6797580529019251,0.659800297633335,0.6788689933272527,0.37380346598819064,0.48270462291776683,0.6840612548605444,0.6384283039700447,,0.56656329508905
"('9_census', 0.0, 2)",0.6084921007233437,0.546319345661451,0.6103534245331557,0.42491903998063013,0.6896734360340182,0.6742361762658515,0.6426513649707939,0.6687619170121969,0.2746275460791138,0.4831686389637117,0.6895145425380587,0.607109348990648,,0.6175556505553705
