,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD
"('2_annthyroid', 0.0, 1)",17.887000799179077,,,,,,
"('2_annthyroid', 0.0, 2)",17.810107231140137,,,,,,
"('2_annthyroid', 0.0, 3)",18.057015895843506,,,,,,
"('2_annthyroid', 0.01, 1)",18.112077713012695,20.963597297668457,,,,,
"('2_annthyroid', 0.01, 2)",18.642701625823975,21.642552375793457,,,,,
"('2_annthyroid', 0.01, 3)",19.067845821380615,21.61939525604248,,,,,
"('2_annthyroid', 0.05, 1)",19.06915044784546,22.82424259185791,,,,,
"('2_annthyroid', 0.05, 2)",19.19521164894104,20.897051334381104,,,,,
"('2_annthyroid', 0.05, 3)",17.850955963134766,21.130199432373047,,,,,
"('2_annthyroid', 0.1, 1)",18.22067356109619,21.6854190826416,,,,,
"('2_annthyroid', 0.1, 2)",18.80597972869873,20.771362781524658,,,,,
"('2_annthyroid', 0.1, 3)",18.646631002426147,20.607943296432495,,,,,
"('2_annthyroid', 0.25, 1)",18.156631231307983,20.99450945854187,,,,,
"('2_annthyroid', 0.25, 2)",17.99850344657898,21.322115182876587,,,,,
"('2_annthyroid', 0.25, 3)",18.547221183776855,21.2364022731781,,,,,
"('2_annthyroid', 0.5, 1)",17.203155279159546,21.521922826766968,,,,,
"('2_annthyroid', 0.5, 2)",17.706830739974976,21.342015027999878,,,,,
"('2_annthyroid', 0.5, 3)",17.617296934127808,20.978179931640625,,,,,
"('2_annthyroid', 0.75, 1)",17.19551420211792,21.16193437576294,,,,,
"('2_annthyroid', 0.75, 2)",18.38038659095764,22.5481538772583,,,,,
"('2_annthyroid', 0.75, 3)",18.78826141357422,22.97950315475464,,,,,
"('2_annthyroid', 1.0, 1)",18.635068655014038,22.700947999954224,,,,,
"('2_annthyroid', 1.0, 2)",18.04685091972351,21.296553373336792,,,,,
"('2_annthyroid', 1.0, 3)",16.947792291641235,21.145745992660522,,,,,
"('9_census', 0.0, 1)",26.40696382522583,,,,,,
"('9_census', 0.0, 2)",26.09026026725769,,,,,,
"('9_census', 0.0, 3)",26.21400737762451,,,,,,
"('9_census', 0.01, 1)",25.931307792663574,29.91900372505188,,,,,
"('9_census', 0.01, 2)",25.74877095222473,30.51217293739319,,,,,
"('9_census', 0.01, 3)",25.754207849502563,30.793089151382446,,,,,
"('9_census', 0.05, 1)",25.79344153404236,30.494380950927734,,,,,
"('9_census', 0.05, 2)",26.237492322921753,31.408570528030396,,,,,
"('9_census', 0.05, 3)",27.446873903274536,32.56033778190613,,,,,
"('9_census', 0.1, 1)",26.145668745040894,31.461119174957275,,,,,
"('9_census', 0.1, 2)",25.33248519897461,30.080058813095093,,,,,
"('9_census', 0.1, 3)",25.367425203323364,29.71104073524475,,,,,
"('9_census', 0.25, 1)",24.681705474853516,29.980758666992188,,,,,
"('9_census', 0.25, 2)",25.65625,30.288577795028687,,,,,
"('9_census', 0.25, 3)",25.610763549804688,30.94483232498169,,,,,
"('9_census', 0.5, 1)",25.10887622833252,29.33894443511963,,,,,
"('9_census', 0.5, 2)",25.220999479293823,30.367698669433594,,,,,
"('9_census', 0.5, 3)",24.669639110565186,30.202289581298828,,,,,
"('9_census', 0.75, 1)",25.21577215194702,31.735693216323853,,,,,
"('9_census', 0.75, 2)",25.36864709854126,32.085898876190186,,,,,
"('9_census', 0.75, 3)",24.61224365234375,29.807400226593018,,,,,
"('9_census', 1.0, 1)",24.197420358657837,29.6629798412323,,,,,
"('9_census', 1.0, 2)",24.427176475524902,30.614198684692383,,,,,
"('9_census', 1.0, 3)",23.968801021575928,29.700562715530396,,,,,
"('5_campaign', 0.0, 1)",26.16096782684326,,,,,,
"('5_campaign', 0.0, 2)",26.103487014770508,,,,,,
"('5_campaign', 0.0, 3)",25.429417610168457,,,,,,
"('5_campaign', 0.01, 1)",25.880796194076538,29.143847227096558,,,,,
"('5_campaign', 0.01, 2)",25.754335641860962,29.430980443954468,,,,,
"('5_campaign', 0.01, 3)",26.639822006225586,30.98902153968811,,,,,
"('5_campaign', 0.05, 1)",26.394946575164795,30.328290700912476,,,,,
"('5_campaign', 0.05, 2)",26.80681014060974,29.154602766036987,,,,,
