,NB,SVM,MLP,RF,LGB,XGB,CatB,ResNet,FTTransformer
"('2_annthyroid', 0.0, 1)",,,0.4120769500732422,,0.04568982124328613,,,,
"('2_annthyroid', 0.0, 2)",,,0.5731701850891113,,0.009327173233032227,,,,
"('2_annthyroid', 0.0, 3)",,,0.5032427310943604,,0.014733552932739258,,,,
"('2_annthyroid', 0.01, 1)",0.0015065670013427734,0.030659914016723633,0.3616485595703125,0.19247150421142578,0.08792519569396973,0.0350339412689209,1.7627112865447998,30.910495042800903,91.61418557167053
"('2_annthyroid', 0.01, 2)",0.0014667510986328125,0.037293434143066406,0.7552793025970459,0.18944334983825684,0.14957332611083984,0.030677080154418945,1.4074573516845703,32.63008427619934,91.5706799030304
"('2_annthyroid', 0.01, 3)",0.0014929771423339844,0.038971662521362305,0.33049845695495605,0.19188237190246582,0.08092498779296875,0.03322887420654297,1.807281255722046,41.88273000717163,91.52043962478638
"('2_annthyroid', 0.05, 1)",0.0014100074768066406,0.16377735137939453,0.4656102657318115,0.25681614875793457,0.060912132263183594,0.047446489334106445,1.4812486171722412,31.722129344940186,93.46934080123901
"('2_annthyroid', 0.05, 2)",0.0014157295227050781,0.21154522895812988,0.4247100353240967,0.27022266387939453,0.07545638084411621,0.04207658767700195,1.5892760753631592,30.399561882019043,91.33792042732239
"('2_annthyroid', 0.05, 3)",0.0016758441925048828,0.1527109146118164,0.3281848430633545,0.23160219192504883,0.1130375862121582,0.0470273494720459,1.4435760974884033,30.082567930221558,92.65933036804199
"('2_annthyroid', 0.1, 1)",0.0013782978057861328,0.2722632884979248,0.990889310836792,0.2735323905944824,0.06766510009765625,0.054818153381347656,1.3579375743865967,30.710927963256836,90.88437080383301
"('2_annthyroid', 0.1, 2)",0.0013041496276855469,0.27449798583984375,0.5513341426849365,0.24080443382263184,0.0904393196105957,0.0476069450378418,1.753624439239502,29.758139610290527,93.36660981178284
"('2_annthyroid', 0.1, 3)",0.0015685558319091797,0.29226088523864746,0.5570240020751953,0.2503995895385742,0.06304287910461426,0.04562044143676758,1.6078391075134277,36.982149600982666,93.42814016342163
"('2_annthyroid', 0.25, 1)",0.0015139579772949219,0.5385067462921143,2.580545663833618,0.31748104095458984,0.07481527328491211,0.05936312675476074,1.7302451133728027,30.919618844985962,92.1185998916626
"('2_annthyroid', 0.25, 2)",0.001683950424194336,0.4882936477661133,2.083800792694092,0.25214529037475586,0.08581280708312988,0.05437731742858887,1.5865004062652588,31.90260100364685,91.36533284187317
"('2_annthyroid', 0.25, 3)",0.0014023780822753906,0.5279865264892578,2.109973192214966,0.26262712478637695,0.09404850006103516,0.06047701835632324,1.6358845233917236,29.633732795715332,91.54911780357361
"('2_annthyroid', 0.5, 1)",0.0014586448669433594,0.4217190742492676,2.078378200531006,0.2631411552429199,0.06784987449645996,0.04235076904296875,1.5336589813232422,33.0072078704834,94.21867823600769
"('2_annthyroid', 0.5, 2)",0.0044825077056884766,0.7209961414337158,2.15985369682312,0.27153730392456055,0.06999921798706055,0.04964780807495117,2.170314073562622,32.35960149765015,91.35240650177002
