,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,HBOS,KNN,LODA,LOF,PCA,SOD,DeepSVDD,DAGMM
"('2_annthyroid', 0.0, 1)",0.1515364646911621,0.8225536346435547,2.3562703132629395,3.442626953125,0.0896446704864502,0.00749659538269043,1.7944352626800537,0.056032419204711914,0.054308176040649414,0.09496784210205078,0.01648855209350586,6.940084218978882,,18.187748193740845
"('2_annthyroid', 0.0, 2)",0.15977144241333008,0.8970301151275635,1.2314484119415283,3.3196699619293213,0.006914615631103516,0.00638580322265625,0.003264188766479492,0.0631401538848877,0.05773472785949707,0.10062193870544434,0.00486302375793457,2.3616223335266113,,17.147324323654175
"('2_annthyroid', 0.0, 3)",0.14093947410583496,0.8083090782165527,1.2139952182769775,3.2772321701049805,0.006359100341796875,0.006369829177856445,0.0030257701873779297,0.07194018363952637,0.03628110885620117,0.1095423698425293,0.003602266311645508,1.7947015762329102,,15.363727807998657
"('2_annthyroid', 0.01, 1)",,,,,,,,,,,,,,
"('2_annthyroid', 0.01, 2)",,,,,,,,,,,,,,
"('2_annthyroid', 0.01, 3)",,,,,,,,,,,,,,
"('2_annthyroid', 0.05, 1)",,,,,,,,,,,,,,
"('2_annthyroid', 0.05, 2)",,,,,,,,,,,,,,
"('2_annthyroid', 0.05, 3)",,,,,,,,,,,,,,
"('2_annthyroid', 0.1, 1)",,,,,,,,,,,,,,
"('2_annthyroid', 0.1, 2)",,,,,,,,,,,,,,
"('2_annthyroid', 0.1, 3)",,,,,,,,,,,,,,
"('2_annthyroid', 0.25, 1)",,,,,,,,,,,,,,
"('2_annthyroid', 0.25, 2)",,,,,,,,,,,,,,
"('2_annthyroid', 0.25, 3)",,,,,,,,,,,,,,
"('2_annthyroid', 0.5, 1)",,,,,,,,,,,,,,
"('2_annthyroid', 0.5, 2)",,,,,,,,,,,,,,
"('2_annthyroid', 0.5, 3)",,,,,,,,,,,,,,
"('2_annthyroid', 0.75, 1)",,,,,,,,,,,,,,
"('2_annthyroid', 0.75, 2)",,,,,,,,,,,,,,
