,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD
"('2_annthyroid', 0.0, 1)",0.0005497932434082031,,,,,,
"('2_annthyroid', 0.0, 2)",0.0005133152008056641,,,,,,
"('2_annthyroid', 0.0, 3)",0.0005118846893310547,,,,,,
"('2_annthyroid', 0.01, 1)",0.0005307197570800781,0.02865314483642578,,,,,
"('2_annthyroid', 0.01, 2)",0.0005793571472167969,0.0333094596862793,,,,,
"('2_annthyroid', 0.01, 3)",0.000579833984375,0.03125643730163574,,,,,
"('2_annthyroid', 0.05, 1)",0.002641439437866211,0.030098915100097656,,,,,
"('2_annthyroid', 0.05, 2)",0.0005595684051513672,0.028821706771850586,,,,,
"('2_annthyroid', 0.05, 3)",0.0006418228149414062,0.029005765914916992,,,,,
"('2_annthyroid', 0.1, 1)",0.0005314350128173828,0.030533790588378906,,,,,
"('2_annthyroid', 0.1, 2)",0.0004315376281738281,0.029687166213989258,,,,,
"('2_annthyroid', 0.1, 3)",0.0006241798400878906,0.0305635929107666,,,,,
"('2_annthyroid', 0.25, 1)",0.00043773651123046875,0.027782440185546875,,,,,
"('2_annthyroid', 0.25, 2)",0.0004100799560546875,0.0330965518951416,,,,,
"('2_annthyroid', 0.25, 3)",0.0006136894226074219,0.02871537208557129,,,,,
"('2_annthyroid', 0.5, 1)",0.00042319297790527344,0.0292055606842041,,,,,
"('2_annthyroid', 0.5, 2)",0.0006260871887207031,0.0324397087097168,,,,,
"('2_annthyroid', 0.5, 3)",0.0006132125854492188,0.031382083892822266,,,,,
"('2_annthyroid', 0.75, 1)",0.0005283355712890625,0.028475522994995117,,,,,
"('2_annthyroid', 0.75, 2)",0.0005908012390136719,0.03221845626831055,,,,,
"('2_annthyroid', 0.75, 3)",0.0004715919494628906,0.029582738876342773,,,,,
"('2_annthyroid', 1.0, 1)",0.0006361007690429688,0.03148198127746582,,,,,
"('2_annthyroid', 1.0, 2)",0.0006549358367919922,0.03009963035583496,,,,,
"('2_annthyroid', 1.0, 3)",0.0004775524139404297,0.028689861297607422,,,,,
"('9_census', 0.0, 1)",0.011301040649414062,,,,,,
"('9_census', 0.0, 2)",0.0048825740814208984,,,,,,
"('9_census', 0.0, 3)",0.002657651901245117,,,,,,
"('9_census', 0.01, 1)",0.008355855941772461,0.04467129707336426,,,,,
"('9_census', 0.01, 2)",0.002088308334350586,0.04594755172729492,,,,,
"('9_census', 0.01, 3)",0.0040187835693359375,0.05081582069396973,,,,,
"('9_census', 0.05, 1)",0.006663799285888672,0.04581260681152344,,,,,
"('9_census', 0.05, 2)",0.0035734176635742188,0.0471186637878418,,,,,
"('9_census', 0.05, 3)",0.004128932952880859,0.060680389404296875,,,,,
"('9_census', 0.1, 1)",0.00388336181640625,0.04726052284240723,,,,,
"('9_census', 0.1, 2)",0.0019080638885498047,0.051346778869628906,,,,,
"('9_census', 0.1, 3)",0.003369569778442383,0.049004554748535156,,,,,
"('9_census', 0.25, 1)",0.00498199462890625,0.06578421592712402,,,,,
"('9_census', 0.25, 2)",0.007880926132202148,0.08802533149719238,,,,,
"('9_census', 0.25, 3)",0.00684356689453125,0.04843568801879883,,,,,
"('9_census', 0.5, 1)",0.005381107330322266,0.04541611671447754,,,,,
"('9_census', 0.5, 2)",0.010556221008300781,0.04826974868774414,,,,,
"('9_census', 0.5, 3)",0.005178213119506836,0.04390668869018555,,,,,
"('9_census', 0.75, 1)",0.002139568328857422,0.0475316047668457,,,,,
"('9_census', 0.75, 2)",0.004026174545288086,0.058789730072021484,,,,,
"('9_census', 0.75, 3)",0.0058841705322265625,0.059689998626708984,,,,,
"('9_census', 1.0, 1)",0.002323627471923828,0.04794168472290039,,,,,
"('9_census', 1.0, 2)",0.0057752132415771484,0.04625654220581055,,,,,
"('9_census', 1.0, 3)",0.010459184646606445,0.04642438888549805,,,,,
"('5_campaign', 0.0, 1)",0.0043408870697021484,,,,,,
"('5_campaign', 0.0, 2)",0.0052564144134521484,,,,,,
"('5_campaign', 0.0, 3)",0.009814739227294922,,,,,,
"('5_campaign', 0.01, 1)",0.004094362258911133,0.04222750663757324,,,,,
"('5_campaign', 0.01, 2)",0.003319263458251953,0.050902605056762695,,,,,
"('5_campaign', 0.01, 3)",0.00445866584777832,0.04522824287414551,,,,,
"('5_campaign', 0.05, 1)",0.011200666427612305,0.04881095886230469,,,,,
"('5_campaign', 0.05, 2)",0.0040438175201416016,0.049165964126586914,,,,,
"('5_campaign', 0.05, 3)",0.0028204917907714844,0.04434013366699219,,,,,
"('5_campaign', 0.1, 1)",0.0007314682006835938,0.06312751770019531,,,,,
"('5_campaign', 0.1, 2)",0.0010051727294921875,0.04581785202026367,,,,,
"('5_campaign', 0.1, 3)",0.004828453063964844,0.04519224166870117,,,,,
"('5_campaign', 0.25, 1)",0.00463414192199707,0.05005526542663574,,,,,
"('5_campaign', 0.25, 2)",0.005164146423339844,0.051949501037597656,,,,,
"('5_campaign', 0.25, 3)",0.0026102066040039062,0.07436633110046387,,,,,
"('5_campaign', 0.5, 1)",0.0014150142669677734,0.0480349063873291,,,,,
"('5_campaign', 0.5, 2)",0.01003408432006836,0.04568934440612793,,,,,
"('5_campaign', 0.5, 3)",0.005048274993896484,0.054691314697265625,,,,,
"('5_campaign', 0.75, 1)",0.005384922027587891,0.043055057525634766,,,,,
"('5_campaign', 0.75, 2)",0.0023245811462402344,0.046132564544677734,,,,,
"('5_campaign', 0.75, 3)",0.00522303581237793,0.04513192176818848,,,,,
"('5_campaign', 1.0, 1)",0.005198478698730469,0.04390597343444824,,,,,
"('5_campaign', 1.0, 2)",0.0007009506225585938,0.0599665641784668,,,,,
"('5_campaign', 1.0, 3)",0.006567239761352539,0.0483708381652832,,,,,
"('3_backdoor', 0.0, 1)",0.0054776668548583984,,,,,,
"('3_backdoor', 0.0, 2)",0.005382537841796875,,,,,,
"('3_backdoor', 0.0, 3)",0.0024881362915039062,,,,,,
