,NB,SVM,MLP,RF,LGB,XGB,CatB,ResNet,FTTransformer
"('2_annthyroid', 0.0, 1)",,,0.0012941360473632812,,0.0009713172912597656,,,,
"('2_annthyroid', 0.0, 2)",,,0.0015850067138671875,,0.0008807182312011719,,,,
"('2_annthyroid', 0.0, 3)",,,0.0010380744934082031,,0.0010421276092529297,,,,
"('2_annthyroid', 0.01, 1)",0.0006525516510009766,0.003873109817504883,0.0009145736694335938,0.010380744934082031,0.0021212100982666016,0.004292011260986328,0.009917497634887695,0.014740705490112305,0.0637657642364502
"('2_annthyroid', 0.01, 2)",0.0005965232849121094,0.0026552677154541016,0.002221345901489258,0.012316465377807617,0.0017237663269042969,0.0012822151184082031,0.004650115966796875,0.014256477355957031,0.06120443344116211
"('2_annthyroid', 0.01, 3)",0.0006954669952392578,0.00390625,0.0009667873382568359,0.010117292404174805,0.001638650894165039,0.0009293556213378906,0.004328489303588867,0.011805534362792969,0.05873584747314453
"('2_annthyroid', 0.05, 1)",0.0005857944488525391,0.012789011001586914,0.0010416507720947266,0.012002229690551758,0.0017099380493164062,0.0012271404266357422,0.0044918060302734375,0.012113809585571289,0.060355186462402344
"('2_annthyroid', 0.05, 2)",0.0006432533264160156,0.015519857406616211,0.0012142658233642578,0.012686967849731445,0.0018012523651123047,0.0011017322540283203,0.005463838577270508,0.015986919403076172,0.06008553504943848
"('2_annthyroid', 0.05, 3)",0.0009851455688476562,0.012185811996459961,0.0008912086486816406,0.010974645614624023,0.001959085464477539,0.0012998580932617188,0.006119251251220703,0.012728452682495117,0.05511903762817383
"('2_annthyroid', 0.1, 1)",0.0006284713745117188,0.012861490249633789,0.0011188983917236328,0.016765832901000977,0.0017209053039550781,0.0013475418090820312,0.005011796951293945,0.013921499252319336,0.05879545211791992
"('2_annthyroid', 0.1, 2)",0.0006287097930908203,0.019061803817749023,0.0009877681732177734,0.011417865753173828,0.0019092559814453125,0.0013451576232910156,0.00486302375793457,0.013294219970703125,0.05509448051452637
"('2_annthyroid', 0.1, 3)",0.0006313323974609375,0.020482540130615234,0.0010006427764892578,0.013042211532592773,0.0021653175354003906,0.0012066364288330078,0.005445718765258789,0.021333932876586914,0.05646085739135742
"('2_annthyroid', 0.25, 1)",0.0007386207580566406,0.020552396774291992,0.0011169910430908203,0.015604019165039062,0.0021829605102539062,0.0011112689971923828,0.0054569244384765625,0.07498431205749512,0.05592679977416992
"('2_annthyroid', 0.25, 2)",0.0006749629974365234,0.029438018798828125,0.0010008811950683594,0.012040138244628906,0.00442194938659668,0.0011372566223144531,0.0045680999755859375,0.01641559600830078,0.05470108985900879
"('2_annthyroid', 0.25, 3)",0.0006084442138671875,0.03525280952453613,0.0010640621185302734,0.013944864273071289,0.001973390579223633,0.0015146732330322266,0.006038665771484375,0.012784481048583984,0.059885263442993164
"('2_annthyroid', 0.5, 1)",0.0006089210510253906,0.03556370735168457,0.0008754730224609375,0.012959718704223633,0.001699209213256836,0.0012180805206298828,0.00540471076965332,0.019036531448364258,0.06269311904907227
"('2_annthyroid', 0.5, 2)",0.0007081031799316406,0.03517460823059082,0.001047372817993164,0.014071464538574219,0.0020294189453125,0.0013332366943359375,0.00506901741027832,0.012798786163330078,0.05651521682739258
"('2_annthyroid', 0.5, 3)",0.0008180141448974609,0.032947540283203125,0.0009639263153076172,0.012399673461914062,0.0017147064208984375,0.00121307373046875,0.006276607513427734,0.013553857803344727,0.0633244514465332
"('2_annthyroid', 0.75, 1)",0.0007643699645996094,0.03415703773498535,0.0010843276977539062,0.013622522354125977,0.0017104148864746094,0.0011792182922363281,0.004870414733886719,0.014194488525390625,0.058793067932128906
"('2_annthyroid', 0.75, 2)",0.0006151199340820312,0.036125898361206055,0.0012211799621582031,0.01298069953918457,0.0020771026611328125,0.0011904239654541016,0.006119728088378906,0.013995885848999023,0.056835174560546875
"('2_annthyroid', 0.75, 3)",0.0006434917449951172,0.034682273864746094,0.0008633136749267578,0.012272357940673828,0.0017714500427246094,0.0012912750244140625,0.005895376205444336,0.014263153076171875,0.05617046356201172
"('2_annthyroid', 1.0, 1)",0.0006222724914550781,0.04069066047668457,0.00144195556640625,0.013291358947753906,0.0016751289367675781,0.001104116439819336,0.004963874816894531,0.01276540756225586,0.05495619773864746
"('2_annthyroid', 1.0, 2)",0.0007963180541992188,0.043817758560180664,0.0009653568267822266,0.012329816818237305,0.0015578269958496094,0.0011529922485351562,0.0063440799713134766,0.014860868453979492,0.07085037231445312
"('2_annthyroid', 1.0, 3)",0.0009350776672363281,0.055230140686035156,0.0009734630584716797,0.012920618057250977,0.0017108917236328125,0.0012040138244628906,0.005118370056152344,0.013432502746582031,0.05749917030334473
"('9_census', 0.0, 1)",,,0.0038442611694335938,,0.001543283462524414,,,,
"('9_census', 0.0, 2)",,,0.0027823448181152344,,0.001455068588256836,,,,
"('9_census', 0.0, 3)",,,0.014041900634765625,,0.0014770030975341797,,,,
"('9_census', 0.01, 1)",0.014063835144042969,0.07032108306884766,0.0030281543731689453,0.02612590789794922,0.0023136138916015625,0.0015513896942138672,0.3659193515777588,0.02063727378845215,0.6580686569213867
"('9_census', 0.01, 2)",0.01482534408569336,0.02982807159423828,0.003003835678100586,0.023487567901611328,0.002216815948486328,0.0016596317291259766,0.41927266120910645,0.020154953002929688,0.653623104095459
"('9_census', 0.01, 3)",0.015410423278808594,0.0713202953338623,0.003990650177001953,0.022886037826538086,0.017657995223999023,0.002164602279663086,0.6279706954956055,0.018742084503173828,0.6573429107666016
"('9_census', 0.05, 1)",0.013910531997680664,0.20694565773010254,0.0033223628997802734,0.029078006744384766,0.003203153610229492,0.0018489360809326172,0.3753316402435303,0.0210418701171875,0.6446795463562012
"('9_census', 0.05, 2)",0.015481948852539062,0.1638803482055664,0.005211830139160156,0.028580427169799805,0.00336456298828125,0.0022411346435546875,0.46550750732421875,0.018926382064819336,0.6482229232788086
"('9_census', 0.05, 3)",0.014490842819213867,0.18521976470947266,0.0029032230377197266,0.02845597267150879,0.0025594234466552734,0.002254009246826172,0.3593604564666748,0.0208737850189209,0.6490201950073242
"('9_census', 0.1, 1)",0.014161348342895508,0.3272407054901123,0.003116130828857422,0.033609867095947266,0.003659486770629883,0.0021028518676757812,0.37331295013427734,0.018935441970825195,0.6509265899658203
"('9_census', 0.1, 2)",0.015389204025268555,0.2851576805114746,0.005142927169799805,0.03358197212219238,0.002496004104614258,0.002184629440307617,0.3569002151489258,0.018895626068115234,0.6525037288665771
"('9_census', 0.1, 3)",0.01621270179748535,0.4203305244445801,0.003568887710571289,0.037695884704589844,0.00276947021484375,0.0018460750579833984,0.5187597274780273,0.0181424617767334,0.6491734981536865
"('9_census', 0.25, 1)",0.016093969345092773,0.5859615802764893,0.004585981369018555,0.03971457481384277,0.0029540061950683594,0.001950979232788086,0.38809823989868164,0.017948150634765625,0.6472539901733398
"('9_census', 0.25, 2)",0.01577472686767578,0.5544219017028809,0.0045318603515625,0.0343012809753418,0.0033593177795410156,0.0034372806549072266,0.37683796882629395,0.020371437072753906,0.646841287612915
