,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,HBOS,KNN,LODA,LOF,PCA,SOD,DeepSVDD,DAGMM
"('2_annthyroid', 0.0, 1)",0.009694814682006836,0.15541958808898926,0.004784584045410156,0.7415146827697754,0.012069463729858398,0.008087158203125,0.00044536590576171875,0.1458284854888916,0.0060880184173583984,0.04425501823425293,0.0005316734313964844,0.4382638931274414,,0.044146060943603516
"('2_annthyroid', 0.0, 2)",0.00978541374206543,0.17325067520141602,0.0008914470672607422,0.7657418251037598,0.007075786590576172,0.0068149566650390625,0.00044536590576171875,0.20090341567993164,0.006716012954711914,0.04054379463195801,0.0004894733428955078,0.6716368198394775,,0.18495965003967285
"('2_annthyroid', 0.0, 3)",0.009432077407836914,0.1610887050628662,0.0009908676147460938,0.719684362411499,0.006813526153564453,0.007116556167602539,0.0004203319549560547,0.15285539627075195,0.00875997543334961,0.04921722412109375,0.0004553794860839844,0.5376722812652588,,0.044591665267944336
"('2_annthyroid', 0.01, 1)",,,,,,,,,,,,,,
"('2_annthyroid', 0.01, 2)",,,,,,,,,,,,,,
"('2_annthyroid', 0.01, 3)",,,,,,,,,,,,,,
"('2_annthyroid', 0.05, 1)",,,,,,,,,,,,,,
"('2_annthyroid', 0.05, 2)",,,,,,,,,,,,,,
"('2_annthyroid', 0.05, 3)",,,,,,,,,,,,,,
"('2_annthyroid', 0.1, 1)",,,,,,,,,,,,,,
"('2_annthyroid', 0.1, 2)",,,,,,,,,,,,,,
"('2_annthyroid', 0.1, 3)",,,,,,,,,,,,,,
"('2_annthyroid', 0.25, 1)",,,,,,,,,,,,,,
"('2_annthyroid', 0.25, 2)",,,,,,,,,,,,,,
"('2_annthyroid', 0.25, 3)",,,,,,,,,,,,,,
"('2_annthyroid', 0.5, 1)",,,,,,,,,,,,,,
"('2_annthyroid', 0.5, 2)",,,,,,,,,,,,,,
"('2_annthyroid', 0.5, 3)",,,,,,,,,,,,,,
"('2_annthyroid', 0.75, 1)",,,,,,,,,,,,,,
"('2_annthyroid', 0.75, 2)",,,,,,,,,,,,,,
"('2_annthyroid', 0.75, 3)",,,,,,,,,,,,,,
"('2_annthyroid', 1.0, 1)",,,,,,,,,,,,,,
"('2_annthyroid', 1.0, 2)",,,,,,,,,,,,,,
"('2_annthyroid', 1.0, 3)",,,,,,,,,,,,,,
"('9_census', 0.0, 1)",0.017832279205322266,3.6651225090026855,0.025189876556396484,24.978173971176147,0.8722405433654785,0.8809657096862793,0.02073979377746582,17.161262273788452,0.012229204177856445,0.08494043350219727,0.603630542755127,1.0842814445495605,,0.07340574264526367
"('9_census', 0.0, 2)",0.021884679794311523,3.809373617172241,0.015878915786743164,24.629613399505615,0.8742396831512451,0.9246819019317627,0.019187211990356445,16.681649446487427,0.013968229293823242,0.09369874000549316,0.6247575283050537,0.9878649711608887,,0.08269190788269043
"('9_census', 0.0, 3)",0.01594066619873047,3.4027493000030518,0.01640152931213379,25.134839296340942,0.8818833827972412,0.8900196552276611,0.019968748092651367,17.571041584014893,0.01333475112915039,0.10004949569702148,0.4834327697753906,1.1387171745300293,,0.07596111297607422
"('9_census', 0.01, 1)",,,,,,,,,,,,,,
"('9_census', 0.01, 2)",,,,,,,,,,,,,,
"('9_census', 0.01, 3)",,,,,,,,,,,,,,
"('9_census', 0.05, 1)",,,,,,,,,,,,,,
"('9_census', 0.05, 2)",,,,,,,,,,,,,,
"('9_census', 0.05, 3)",,,,,,,,,,,,,,
"('9_census', 0.1, 1)",,,,,,,,,,,,,,
"('9_census', 0.1, 2)",,,,,,,,,,,,,,
"('9_census', 0.1, 3)",,,,,,,,,,,,,,
"('9_census', 0.25, 1)",,,,,,,,,,,,,,
"('9_census', 0.25, 2)",,,,,,,,,,,,,,
"('9_census', 0.25, 3)",,,,,,,,,,,,,,
"('9_census', 0.5, 1)",,,,,,,,,,,,,,
"('9_census', 0.5, 2)",,,,,,,,,,,,,,
"('9_census', 0.5, 3)",,,,,,,,,,,,,,
"('9_census', 0.75, 1)",,,,,,,,,,,,,,
"('9_census', 0.75, 2)",,,,,,,,,,,,,,
"('9_census', 0.75, 3)",,,,,,,,,,,,,,
"('9_census', 1.0, 1)",,,,,,,,,,,,,,
"('9_census', 1.0, 2)",,,,,,,,,,,,,,
"('9_census', 1.0, 3)",,,,,,,,,,,,,,
"('5_campaign', 0.0, 1)",0.014324426651000977,0.682960033416748,0.0029535293579101562,2.6841986179351807,0.09556221961975098,0.09575390815734863,0.0033712387084960938,1.7032983303070068,0.00966954231262207,0.03471183776855469,0.008963823318481445,0.9273245334625244,,0.06337809562683105
"('5_campaign', 0.0, 2)",0.014734029769897461,0.6771657466888428,0.0028183460235595703,2.8207244873046875,0.10434126853942871,0.10973858833312988,0.003828763961791992,1.6642029285430908,0.010306119918823242,0.035355567932128906,0.011145591735839844,0.9072489738464355,,0.06975769996643066
"('5_campaign', 0.0, 3)",0.015819072723388672,0.6794764995574951,0.004220008850097656,2.8673644065856934,0.106536865234375,0.09444093704223633,0.0034792423248291016,1.688601016998291,0.009630918502807617,0.036026954650878906,0.007947444915771484,0.8192863464355469,,0.07811808586120605
"('5_campaign', 0.01, 1)",,,,,,,,,,,,,,
"('5_campaign', 0.01, 2)",,,,,,,,,,,,,,
"('5_campaign', 0.01, 3)",,,,,,,,,,,,,,
"('5_campaign', 0.05, 1)",,,,,,,,,,,,,,
"('5_campaign', 0.05, 2)",,,,,,,,,,,,,,
"('5_campaign', 0.05, 3)",,,,,,,,,,,,,,
"('5_campaign', 0.1, 1)",,,,,,,,,,,,,,
"('5_campaign', 0.1, 2)",,,,,,,,,,,,,,
"('5_campaign', 0.1, 3)",,,,,,,,,,,,,,
"('5_campaign', 0.25, 1)",,,,,,,,,,,,,,
"('5_campaign', 0.25, 2)",,,,,,,,,,,,,,
"('5_campaign', 0.25, 3)",,,,,,,,,,,,,,
"('5_campaign', 0.5, 1)",,,,,,,,,,,,,,
"('5_campaign', 0.5, 2)",,,,,,,,,,,,,,
"('5_campaign', 0.5, 3)",,,,,,,,,,,,,,
"('5_campaign', 0.75, 1)",,,,,,,,,,,,,,
"('5_campaign', 0.75, 2)",,,,,,,,,,,,,,
"('5_campaign', 0.75, 3)",,,,,,,,,,,,,,
"('5_campaign', 1.0, 1)",,,,,,,,,,,,,,
"('5_campaign', 1.0, 2)",,,,,,,,,,,,,,
"('5_campaign', 1.0, 3)",,,,,,,,,,,,,,
"('3_backdoor', 0.0, 1)",0.019008398056030273,1.5318472385406494,0.009080886840820312,7.328180551528931,0.28554224967956543,0.26930665969848633,0.010488033294677734,3.8760602474212646,0.013537406921386719,0.170027494430542,0.07477378845214844,0.79988694190979,,0.08252477645874023
"('3_backdoor', 0.0, 2)",0.017047643661499023,1.322084665298462,0.008579492568969727,6.893684387207031,0.29679012298583984,0.2610166072845459,0.009120464324951172,4.024403095245361,0.01039886474609375,0.048905134201049805,0.06149029731750488,0.959209680557251,,0.07286334037780762
"('3_backdoor', 0.0, 3)",0.01497030258178711,1.5203304290771484,0.006462574005126953,7.72169828414917,0.3194150924682617,0.3171193599700928,0.010442256927490234,3.9267191886901855,0.020931482315063477,0.06112551689147949,0.0655205249786377,0.9861161708831787,,0.07685470581054688
"('3_backdoor', 0.01, 1)",,,,,,,,,,,,,,
"('3_backdoor', 0.01, 2)",,,,,,,,,,,,,,
"('3_backdoor', 0.01, 3)",,,,,,,,,,,,,,
"('3_backdoor', 0.05, 1)",,,,,,,,,,,,,,
"('3_backdoor', 0.05, 2)",,,,,,,,,,,,,,
"('3_backdoor', 0.05, 3)",,,,,,,,,,,,,,
"('3_backdoor', 0.1, 1)",,,,,,,,,,,,,,
"('3_backdoor', 0.1, 2)",,,,,,,,,,,,,,
"('3_backdoor', 0.1, 3)",,,,,,,,,,,,,,
"('3_backdoor', 0.25, 1)",,,,,,,,,,,,,,
"('3_backdoor', 0.25, 2)",,,,,,,,,,,,,,
"('3_backdoor', 0.25, 3)",,,,,,,,,,,,,,
"('3_backdoor', 0.5, 1)",,,,,,,,,,,,,,
"('3_backdoor', 0.5, 2)",,,,,,,,,,,,,,
"('3_backdoor', 0.5, 3)",,,,,,,,,,,,,,
"('3_backdoor', 0.75, 1)",,,,,,,,,,,,,,
"('3_backdoor', 0.75, 2)",,,,,,,,,,,,,,
"('3_backdoor', 0.75, 3)",,,,,,,,,,,,,,
"('3_backdoor', 1.0, 1)",,,,,,,,,,,,,,
"('3_backdoor', 1.0, 2)",,,,,,,,,,,,,,
"('3_backdoor', 1.0, 3)",,,,,,,,,,,,,,
